編號(證書編號),店名,*餐飲業別,電話,郵遞區號,地址,等級
02-00001,義饗食堂_台大店,學校附設餐飲,7735-5077,106,大安區羅斯福路四段83號2樓,優
02-00002,莫凡彼咖啡館_台大店,學校附設餐飲,2362-2579,106,大安區羅斯福路四段85號1樓,優
02-00003,茄子洋廚_公館店,學校附設餐飲,2366-1258,106,大安區羅斯福路四段85號2樓,優
02-00004,茄子洋廚_公館店,學校附設餐飲,8369-2980,106,大安區羅斯福路四段85號2樓,優
02-00005,果然匯_明曜店,一般餐廳,2771-8832,106,大安區忠孝東路四段200號12F,優
02-00006,好饗廚房,松山機場內餐飲,2712-0699,105,松山區敦化北路340-9號,優
02-00007,伯朗咖啡松山機場一店,松山機場內餐飲,2545-8159,105,松山區敦化北路340-9號,優
02-00008,好饗輕食,松山機場內餐飲,2712-0699,105,松山區敦化北路340-9號,優
02-00009,高雄空廚_松山機場一航廈店,松山機場內餐飲,2545-7233,105,松山區敦化北路340-9號,優
02-00010,高雄空廚_松山機場二航廈店,松山機場內餐飲,2545-7233,105,松山區敦化北路340-9號,優
02-00011,高雄空廚_松山機場二航廈店,松山機場內餐飲,0952-026755,105,松山區敦化北路340-9號,優
02-00012,春水堂_松航店,松山機場內餐飲,0952-026755,105,松山區敦化北路340-9號,優
02-00013,大心_台北松山機場店,松山機場內餐飲,0952-026755,105,松山區敦化北路340-9號,優
02-00014,MOS BURGER_松山機場店,松山機場內餐飲,2545-3032,105,松山區敦化北路340-9號,優
02-00015,PiZZAHOOD披薩樹_京站店,美食街,2558-6585,103,大同區承德路一段1號B3樓,優
02-00016,Mr.Onion_京站店,美食街,2559-6686,103,大同區承德路一段1號B3樓,優
02-00017,開飯_京站店,美食街,2556-5788,103,大同區承德路一段1號B3樓,優
02-00018,和田精緻涮涮鍋_京站店,美食街,2552-7977,103,大同區承德路一段1號B3樓,優
02-00019,山頭火_京站店,美食街,2558-2577,103,大同區承德路一段1號1樓,優
02-00020,MoMo Paradise_京站店,美食街,2550-0889,103,大同區承德路一段1號4樓,優
02-00021,小湯匙越式料理_京站店,美食街,2552-6227,103,大同區承德路一段1號4樓,優
02-00022,MOS BURGER_京站2店,美食街,2552-5974,103,大同區承德路一段1號B2樓,優
02-00023,21世紀風味館台北_京站店,美食街,2555-3021,103,大同區承德路一段1號B2樓,優
02-00024,繼光香香雞_京站店,美食街,2552-6815,103,大同區承德路一段1號B2樓,優
02-00025,德州美墨炸雞_京,美食街,2552-1779,103,大同區承德路一段1號B2樓,優
02-00026,彭園湘菜_林森店,宴席餐廳,2551-9157,104,中山區林森北路380號2樓,優
02-00027,儷宴會館_東光館,宴席餐廳,2536-8899,104,中山區林森北路413號,優
02-00028,壹品宴_彭園南京店,宴席餐廳,2541-9102,104,中山區南京東路二段63號2樓,優
02-00029,欣葉_雙城店,宴席餐廳,2596-3255,104,中山區雙城街34-1號,優
02-00030,晶宴會館_民權館,宴席餐廳,2630-8058,104,中山區民權東路三段2號,優
02-00031,晶宴會館_民生館,宴席餐廳,2517-9977,104,中山區民生東路三段8號,優
02-00032,欣葉日料理_中山店,日本料理,2542-5858,104,中山區中山北路二段52號,優
02-00033,鬍鬚張美食文化館,連鎖中式餐飲,2556-4631,103,大同區寧夏路62號,優
02-00034,鬍鬚張股份有限公司內湖瑞光店,連鎖中式餐飲,2659-0629,114,內湖區瑞光路301號,優
02-00035,鬍鬚張股份有限公司台北內湖店,連鎖中式餐飲,2791-0808,114,內湖區成功路二段318號,優
02-00036,鬍鬚張股份有限公司台北東湖店,連鎖中式餐飲,2630-8058,114,內湖區東湖路90號1樓,優
02-00037,神樂坂鮨日式料理,日本料理,2321-6472 ,104,中山區合江街105號,優
02-00038,龐德羅莎_台大店,學校附設餐飲,23660046,106,大安區羅斯福路四段85號2樓,良
02-00039,SUBWAY_台大店,學校附設餐飲,33652629,106,大安區羅斯福路四段85號1樓,良
02-00040,魯山人和風壽喜鍋物_台大店,學校附設餐飲,23630339,106,大安區羅斯福路四段85號1樓,良
02-00041,穀果蔬食_台大店,學校附設餐飲,23650333,106,大安區羅斯福路四段85號1樓,良
02-00042,饗食天堂_信義店,自助餐,77375889,106,信義區長松壽路二段12號6樓,良
02-00043,悟饕池上飯包_台北敦南店,連鎖中式餐飲,2755-5530,106,大安區敦化南路二段81巷45弄45號,良
02-00044,雅悅會館_松山館,宴席餐廳,3762-2222,105,松山區八德路四段138號(京華城10-11樓）,良
02-00045,Bowls丼飯專賣店_松山機場店,松山機場內餐飲,0952-026755,105,松山區敦化北路340-9號,良
02-00048,聖加南洋_台北京站店,美食街,2552-6146,103,大同區承德路一段1號B3樓,良
02-00049,興葉蚵仔煎_京站店,美食街,2552-3855,103,大同區承德路一段1號B3樓,良
02-00050,明德素食園_京站店,美食街,2559-5008,103,大同區承德路一段1號B3樓,良
02-00051,都雲溫州大餛飩_京站店,美食街,2552-5909,103,大同區承德路一段1號B3樓,良
02-00052,廣安階_京站時尚廣場,美食街,2552-5663,103,大同區承德路一段1號B3樓,良
02-00053,駱姐正雞酒_京站店,美食街,0930-418-992,103,大同區承德路一段1號B3樓,良
02-00054,誠屋拉麵_京站店,美食街,2552-6833,103,大同區承德路一段1號B3樓,良
02-00055,凱林鐵板燒_京站廣場店,美食街,2552-7348,103,大同區承德路一段1號B3樓,良
02-00056,雪嶽山韓式料理_京站店,美食街,2552-7977,103,大同區承德路一段1號B3樓,良
02-00057,新宿廚房_京站店,美食街,2552-5830,103,大同區承德路一段1號B3樓,良
02-00058,安妮莎泰式料理_京站店,美食街,2552-7825,103,大同區承德路一段1號B3樓,良
02-00059,旭成鐵板料理_台北京站店,美食街,2552-5632,103,大同區承德路一段1號B3樓,良
02-00060,MOS BURGER_京站店,美食街,2552-6795,103,大同區承德路一段1號1樓,良
02-00061,Alleycats_京站店,美食街,2552-2935,103,大同區承德路一段1號1樓,良
02-00062,杜蘭朵餐廳_京站店,美食街,2552-5277,103,大同區承德路一段1號2樓,良
02-00063,海壽司_京站店,美食街,2555-1135,103,大同區承德路一段1號B3樓,良
02-00064,晶湯匙泰式主題餐廳_台北京站店,美食街,2552-6835,103,大同區承德路一段1號4樓,良
02-00065,饗食天堂_京站店,美食街,6617-1168,103,大同區承德路一段1號4樓,良
02-00066,金色三麥_京站店,美食街,7737-0909,103,大同區承德路一段1號4樓,良
02-00067,MISO東京風日本料理_京站店,美食街,2558-3056,103,大同區承德路一段1號4樓,良
02-00068,銀座杏子豬排_台北京站店,美食街,2558-6878,103,大同區承德路一段1號4樓,良
02-00069,piepie澳洲肉派_台北京站店,美食街,2552-1656,103,大同區承德路一段1號B2樓,良
02-00070,天吉屋_京站店,美食街,2558-2328,103,大同區承德路一段1號1樓,良
02-00071,愛爾蘭瘋薯_京站時尚店,美食街,960595773,103,大同區承德路一段1號4樓,良
02-00072,長春素食,一般餐廳,25115656,104,中山區新生北路二段38號,良
02-00073,喜美自助餐店,連鎖自助餐,25210628,104,中山區民生東路一段38號,良
02-00074,悟饕池上飯包_台北合江店,連鎖中式餐飲,25006048,104,中山區合江街97號,良
02-00075,鬍鬚張股份有限公司錦州分公司,連鎖中式餐飲,25012989,104,中山區錦州街439號,良
02-00076,全國食養健康素食_港墘店,連鎖中式餐飲,27988998,114,內湖區港墘路171號,良
02-00077,統美自助餐,連鎖中式餐飲,28371881,111,士林區德行東路233之1號,良
02-00078,滷味香排骨店,一般餐廳,28336810,111,士林區士東路200巷79號,良
02-00079,三軍總醫院汀州院區,醫院附設餐飲,87923311轉15460,100,中正區汀州路三段40號介壽大樓2樓,優
02-00080,"水源福利會館有限公司
(水源福利會館有限公司)",一般餐廳,23694999,100,中正區思源街16號2樓,優
02-00081,京兆尹有限公司(京兆尹),一般餐廳,27013225,106,大安區四維路18號1樓,優
02-00082,"璞園餐飲事業有限公司
(台南海鮮會館)",宴席餐廳,28883799,111,士林區基河路130號B1,優
02-00083,"沙山食品有限公司
(法官學院)",機關外包廠商,"88664433
-155",111,士林區文林路723號,優
02-00084,欣葉國際餐飲股份有限公司(101食藝軒),宴席餐廳,"25948773-
328",110,信義區信義路五段7號85樓之1,優
