Changetime,Keyword,Remarks,Ticketinfo,Parkinginfo_py,Parkinginfo_px,Parkinginfo,Website,Level,Class3,Class2,Class1,Orgclass,Py,Px,Gov,Map,Picdescribe3,Picture3,Picdescribe2,Picture2,Picdescribe1,Picture1,Opentime,Travellinginfo,Zipcode,Add,Tel,Description,Toldescribe,Zone,Name,Id
2017/4/20 15:14,,,,,,,http://www.warmspring.com.tw/,,,,10,,25.22186,121.64589,382000000A,,,,,,此景點目前暫不開放照片授權,http://tour.ntpc.gov.tw/Content/img/place_default.png,未提供,,208,新北市金山區民生路196號,886-2-24082628,"原名舊金山總督溫泉會館，舊金山總督溫泉的名稱由來，是附近有一座舊的金山海水浴場，加上這裡為日據時期的臺灣總督府（臺北州於昭和13年5月，撥款3萬日元興建。於昭和14年9月竣工，因而命名為「舊金山總督溫泉」）。光復後，國軍以此處為海防要塞，泉源遂廢。軍隊移防後，建物頃廢。直至舊金山總督溫泉團隊投入整建，以原建物為藍圖，盡心竭力尋找舊風格建材，完工後既有新的服務功能，又難得的維護舊建物風格，賦予「新館」溫泉新的生命力。 

本館溫泉泉水屬於稀有的海底溫泉，除了含有大屯火山山脈特有的硫磺及礦物成份外(沒有濃濃的硫磺味)，因緊鄰海岸，本館溫泉在形成的同時，亦滲透到深層潔淨的海水，因此水中有著淡淡的鹹味，讓人浸泡其中感到無比的清爽舒暢。","原名舊金山總督溫泉會館，舊金山總督溫泉的名稱由來，是附近有一座舊的金山海水浴場，加上這裡為日據時期的臺灣總督府（臺北州於昭和13年5月，撥款3萬日元興建。於昭和14年9月竣工，因而命名為「舊金山總督溫泉」）。光復後，國軍以此處為海防要塞，泉源遂廢。軍隊移防後，建物頃廢。直至舊金山總督溫泉團隊投入整建，以原建物為藍圖，盡心竭力尋找舊風格建材，完工後既有新的服務功能，又難得的維護舊建物風格，賦予「新館」溫泉新的生命力。 

本館溫泉泉水屬於稀有的海底溫泉，除了含有大屯火山山脈特有的硫磺及礦物成份外(沒有濃濃的硫磺味)，因緊鄰海岸，本館溫泉在形成的同時，亦滲透到深層潔淨的海水，因此水中有著淡淡的鹹味，讓人浸泡其中感到無比的清爽舒暢。",,舊金山總督溫泉有限公司,C1_382000000A_102485
2017/4/20 15:14,,,,,,,,,,,10,,24.89824,121.54977,382000000A,,,,,,此景點目前暫不開放照片授權,http://tour.ntpc.gov.tw/Content/img/place_default.png,未提供,,233,新北市烏來區新烏路5段60號,886-2-26616333,依偎在洪荒峽畔的巨龍山莊，建築以紅磚牆砌成，充滿古色古香，且是一家以茶餚主題的餐廳，除以茶餚聞名外，「水世界」溫泉館也頗具知名，大浴池分有捶背、噴絲、單孔、氣泡等各式按摩設備，可享受按摩樂趣。仕女區半露天池，可以邊泡湯邊欣賞洪荒峽畔巨岩嶙峋的景緻；男仕養生池的半露天湯則是欣賞到堰堤水壩的景觀。,依偎在洪荒峽畔的巨龍山莊，建築以紅磚牆砌成，充滿古色古香，且是一家以茶餚主題的餐廳，除以茶餚聞名外，「水世界」溫泉館也頗具知名，大浴池分有捶背、噴絲、單孔、氣泡等各式按摩設備，可享受按摩樂趣。仕女區半露天池，可以邊泡湯邊欣賞洪荒峽畔巨岩嶙峋的景緻；男仕養生池的半露天湯則是欣賞到堰堤水壩的景觀。,,巨龍山莊,C1_382000000A_102600
2017/4/20 15:15,,,,,,,,,,,10,,24.86336,121.55142,382000000A,,,,,,此景點目前暫不開放照片授權,http://tour.ntpc.gov.tw/Content/img/place_default.png,未提供,,233,新北市烏來區烏來街22號,886-2-26616351,國際岩湯採中國式庭園造景，家庭池則採觀音石建材，整體建築規劃及傢具擺設均呈現古樸氣息，大眾池亦提供完善設備，烤箱、氣泡池、冥想池、按摩池、衝擊水柱、蒸汽浴等。『岩湯』集大地之精華孕育而生，含有豐富的天然礦物質，浸泡後感覺神清氣爽精力充沛即保健又養生，另提供以健康為訴求的餐飲，推出低鹽、低脂、低油的低卡路里營養餐，是大台北地區享受泡湯、美食的好地方。,國際岩湯採中國式庭園造景，家庭池則採觀音石建材，整體建築規劃及傢具擺設均呈現古樸氣息，大眾池亦提供完善設備，烤箱、氣泡池、冥想池、按摩池、衝擊水柱、蒸汽浴等。『岩湯』集大地之精華孕育而生，含有豐富的天然礦物質，浸泡後感覺神清氣爽精力充沛即保健又養生，另提供以健康為訴求的餐飲，推出低鹽、低脂、低油的低卡路里營養餐，是大台北地區享受泡湯、美食的好地方。,,國際岩湯,C1_382000000A_102601
2017/4/20 15:15,,,,,,,http://www.protospring.com.tw,,,,10,,24.86359,121.55141,382000000A,,,,,,此景點目前暫不開放照片授權,http://tour.ntpc.gov.tw/Content/img/place_default.png,未提供,,233,新北市烏來區烏來街32號,886-2-26616222,"成立於1997年，烏來第一家標準溫泉浴場，致力於「讓客戶正確使用溫泉與提供最好的水質」為宗旨，提升溫泉文化、正確使用溫泉，並供應100%純原汁的溫泉，再以專業設備，降溫至適合人體使用，絕不添加一滴山泉水或自來水冷卻，浸泡後效果更佳。使用最純最道地的烏來溫泉，因此內行人莫不趨之若鶩！

泡溫泉需建立觀念『要有閒養生，不要有錢看醫生』這是泡溫泉的根本之源。文明病充斥的今日，健身養生有多元的方式，需持之以恆，泡溫泉也需如此。負責人洪榮川先生希望各位客戶能感受到溫泉水質的重要，所以小川源溫泉和玩樂遊憩溫泉、玩水是不同的，每位客戶能來到小川源溫泉能夠大量流汗如同運動般，這樣才不失泡溫泉的目的。

FB粉絲團","成立於1997年，烏來第一家標準溫泉浴場，致力於「讓客戶正確使用溫泉與提供最好的水質」為宗旨，提升溫泉文化、正確使用溫泉，並供應100%純原汁的溫泉，再以專業設備，降溫至適合人體使用，絕不添加一滴山泉水或自來水冷卻，浸泡後效果更佳。使用最純最道地的烏來溫泉，因此內行人莫不趨之若鶩！

泡溫泉需建立觀念『要有閒養生，不要有錢看醫生』這是泡溫泉的根本之源。文明病充斥的今日，健身養生有多元的方式，需持之以恆，泡溫泉也需如此。負責人洪榮川先生希望各位客戶能感受到溫泉水質的重要，所以小川源溫泉和玩樂遊憩溫泉、玩水是不同的，每位客戶能來到小川源溫泉能夠大量流汗如同運動般，這樣才不失泡溫泉的目的。

FB粉絲團",,小川源溫泉館,C1_382000000A_102602
2017/4/20 15:13,,,,,,,,,,,10,,25.20934,121.59708,382000000A,,,,,,此景點目前暫不開放照片授權,http://tour.ntpc.gov.tw/Content/img/place_default.png,未提供,,208,新北市金山區林口28-3號,886-2-24080829,奇峰石溫泉山莊位於陽金公路4公里處，自民國80年營業至今，是個不論晴雨晨昏、四季皆宜、老少咸宜的好去處！奇峰石溫泉，獲頒「溫泉標章」認證，隸屬大屯山火山群地熱帶，泉水呈弱酸性反應，水質呈灰白色半透明，帶有硫磺味，介於40℃至75℃的中溫溫泉，不能飲用，屬於天然的白硫磺泉（酸性硫酸鹽泉），又名牛奶美人湯，適合大人小孩養生浸浴。冷泉為陽明山天然山泉水，水溫終年20°C以下，水質純淨甘美，無污染。有大眾裸湯池和私人湯屋池可供顧客選擇；本山莊絕不回收溫泉水，且經新北市政府衛生局水質檢驗合格。,"奇峰石溫泉山莊位於陽金公路4公里處，自民國80年營業至今，是個不論晴雨晨昏、四季皆宜、老少咸宜的好去處！

奇峰石餐廳的空間柔和而明淨，有中式原木座椅、圓形吧檯，及舒適的沙發，更有露天庭園雅座，餐廳美食材料均採本地之特色土產，風味獨具，複合式的餐飲，提供烏骨雞湯養生鍋、單點熱炒、團體桌菜、精緻簡餐和香醇咖啡、浪漫花茶及可口小點心，以多樣的用餐選擇來滿足您的胃！

不論在以中式原木座椅為主的典雅茶藝館裡泡茶，或在露天庭園雅座區泡茶，置身期間，令人心情舒暢；本山莊之茶水為天然山泉水，泉甘清澈無污染！

奇峰石溫泉，獲頒「溫泉標章」認證，隸屬大屯山火山群地熱帶，泉水呈弱酸性反應，水質呈灰白色半透明，帶有硫磺味，介於40℃至75℃的中溫溫泉，不能飲用，屬於天然的白硫磺泉（酸性硫酸鹽泉），又名牛奶美人湯，適合大人小孩養生浸浴。冷泉為陽明山天然山泉水，水溫終年20°C以下，水質純淨甘美，無污染。有大眾裸湯池和私人湯屋池可供顧客選擇；本山莊絕不回收溫泉水，且經新北市政府衛生局水質檢驗合格。",,奇峰石溫泉山莊,C1_382000000A_102610
2017/4/20 15:12,,,,,,,,,,,10,,25.21137,121.64807,382000000A,,,,,,此景點目前暫不開放照片授權,http://tour.ntpc.gov.tw/Content/img/place_default.png,未提供,,207,新北市萬里區萬里加投18之4號,886-2-24987733,地中海風情的主題會館，藍天白牆和湛藍的水連天，心嚮往的地中海就在萬里的香草花源溫泉養生館。我們有峇里島風格的熱水SPA、地中海風情的冷水泳池、兒童戲水區、和風溫泉、歐洲露天的熱水SPA芳香療池、高低溫烤箱具備數種功能的蒸氣室。慵懶的陽光照著GLASS HOUSE，徐徐的微風吹拂著你我，讓我們洗滌您心靈的塵囂。,地中海風情的主題會館，藍天白牆和湛藍的水連天，心嚮往的地中海就在萬里的香草花源溫泉養生館。我們有峇里島風格的熱水SPA、地中海風情的冷水泳池、兒童戲水區、和風溫泉、歐洲露天的熱水SPA芳香療池、高低溫烤箱具備數種功能的蒸氣室。慵懶的陽光照著GLASS HOUSE，徐徐的微風吹拂著你我，讓我們洗滌您心靈的塵囂。,,香草花源溫泉養生館,C1_382000000A_102611
2017/4/20 15:17,,,,,,,,,,,10,,24.86177,121.55095,382000000A,,,,,,此景點目前暫不開放照片授權,http://tour.ntpc.gov.tw/Content/img/place_default.png,未提供,,233,新北市烏來區溫泉街75號,886-2-26616307,"烏來為原住民山區，主要以泰雅族為主，處處可見泰雅族文化圖騰，且以溫泉與山櫻花聞名每逢春天形成落櫻繽紛的燦爛世界，且桶後溪及南勢溪可為旅客消暑，溪中有溪哥魚、苦花魚、溪蝦等。
烏來區境內之自然植物、天然瀑布溪流，漫步於情人步道及森林步道中，享受大自然之芬多精，可謂人生一大享受。
本館位於烏來溫泉街上，竭誠歡迎各方遠道而來的遊客至本館泡湯休憩。","烏來為原住民山區，主要以泰雅族為主，處處可見泰雅族文化圖騰，且以溫泉與山櫻花聞名每逢春天形成落櫻繽紛的燦爛世界，且桶後溪及南勢溪可為旅客消暑，溪中有溪哥魚、苦花魚、溪蝦等。
烏來區境內之自然植物、天然瀑布溪流，漫步於情人步道及森林步道中，享受大自然之芬多精，可謂人生一大享受。
本館位於烏來溫泉街上，竭誠歡迎各方遠道而來的遊客至本館泡湯休憩。",,阿湯哥溫泉,C1_382000000A_102616
2017/4/20 15:19,,,,,,,,,,,10,,24.86177,121.55095,382000000A,,,,,,此景點目前暫不開放照片授權,http://tour.ntpc.gov.tw/Content/img/place_default.png,未提供,,233,新北市烏來區溫泉街72號,886-2-26616620,溫泉成分及泉質類別：碳酸氫鹽泉,溫泉成分及泉質類別：碳酸氫鹽泉,,伊豆商店,C1_382000000A_102619
2016/12/30 17:38,,,,,,,,,,,3,,25.01048,121.50911,382000000A,,,,,,此景點目前暫不開放照片授權,http://tour.ntpc.gov.tw/Content/img/place_default.png,未提供,,234,新北市永和區永平路,886-2-29282828,有卅年攸久歷史的永和樂華夜市，是雙和地區首屈一指的知名夜市，地處永和區中心交通便捷的永平路，不算長的一條街匯集了上百家的小吃攤及成衣店，入夜之後燈火通明有如白晝，絕對可以同時滿足都市人空乏的胃與寂寥的心。距離永和路入口處不遠左手邊的樂華蚵仔煎算是特色之一，歷經兩代的考驗，第二代三兄妹仍能攜手承接父親衣缽，繼續這個小吃的不朽傳奇。蚵仔煎的特別之處，除了精選新鮮的蚵仔，以細嫩的空心菜取代一般蚵仔煎慣用的茼蒿或小白菜，口感更是一絕。此外，這裡的豬血湯採用特調的沙茶調味，不但鮮而不腥，豬血嫩如豆腐的質感，也令人回味無窮。如果你覺得市面上連鎖經營的鍋貼專賣店已算令你稱道，那你一定沒吃過樂華夜市的鍋貼。店中雖然只賣鍋貼及酸辣湯兩樣東西，卻讓老闆從早忙到晚，每天平均賣出上萬個鍋貼，教店中人手個個人仰馬翻。走進店中只見四個大型生鐵平底鍋一字排開，一次可煎製四百個鍋貼，香味撲鼻，聞香不來也難。,"有卅年攸久歷史的永和樂華夜市，是雙和地區首屈一指的知名夜市，地處永和區中心交通便捷的永平路，不算長的一條街匯集了上百家的小吃攤及成衣店，入夜之後燈火通明有如白晝，絕對可以同時滿足都市人空乏的胃與寂寥的心。要在樂華夜市琳瑯滿目的小吃攤中，挑出具有代表性者，實在是件難事，因為怎麼挑都覺得有遺珠之憾。
不過要講特色，距離永和路入口處不遠左手邊的樂華蚵仔煎，當仁不讓。由家族經營的蚵仔煎，歷經兩代的考驗，難能可貴的是，第二代三兄妹仍能攜手承接父親衣缽，繼續這個小吃的不朽傳奇。蚵仔煎的特別之處，除了精選新鮮的蚵仔，以細嫩的空心菜取代一般蚵仔煎慣用的茼蒿或小白菜，口感更是一絕。此外，這裡的豬血湯採用特調的沙茶調味，不但鮮而不腥，豬血嫩如豆腐的質感，也令人回味無窮。如果你覺得市面上連鎖經營的鍋貼專賣店已算令你稱道，那你一定沒吃過樂華夜市的鍋貼。店中雖然只賣鍋貼及酸辣湯兩樣東西，卻讓老闆從早忙到晚，每天平均賣出上萬個鍋貼，教店中人手個個人仰馬翻。走進店中只見四個大型生鐵平底鍋一字排開，一次可煎製四百個鍋貼，香味撲鼻，聞香不來也難。外皮煎得酥脆的鍋貼，內餡包的是上好的豬肉韭黃，在咬開的瞬間湯汁流洩口中，齒頰留香，讓人忍不住一口一個，一口接一口。值得一提的是，不同於一般夜市小吃與服飾攤雜陳，樂華夜市的小吃攤皆位在永平路兩端，流行服飾及鞋店則集中在夜市中段，巧妙的安排，更能滿足民眾各取所好，一氣呵成的需要。",,永和樂華夜市,C1_382000000A_107161
2016/12/30 17:38,"臺灣美食,永和",,,,,,,,,,9,,24.98932,121.42476,382000000A,,,,,,此景點目前暫不開放照片授權,http://tour.ntpc.gov.tw/Content/img/place_default.png,未提供,,238,新北市樹林區博愛街,886-2-26812106,說起樹林夜市的發展源起，得歸功於「有拜有保佑」的地方廟宇─濟安宮。當初因各地慕名到樹林濟安宮朝拜的香客絡繹不絕，才造就了保安街、博愛街、溪北路一帶市集的繁榮。只不過隨著樹林日漸朝向都市型城鎮發展，樹林夜市也轉型為綜合型的夜市，白天當地是現代新穎的商店街當道，到了下午四時以後，小吃攤才開始悄悄地現身，一場令人聞香下馬的喧鬧，一直要持續到午夜十二時灰姑娘的魔法消失為止。與板橋南雅、三重三和或新莊夜市比較起來，樹林夜市的小吃攤不以「量」取勝，花樣及選擇性也不是那麼多，但因有位在樹林火車站旁的地利之便，入夜之後，樹林夜市仍吸引大批晝伏夜出的食客，從四面八方而來，為的不僅僅是填飽肚子，更可感受在人群中呼吸的踏實感。,說起樹林夜市的發展源起，得歸功於「有拜有保佑」的地方廟宇─濟安宮。當初因各地慕名到樹林濟安宮朝拜的香客絡繹不絕，才造就了保安街、博愛街、溪北路一帶市集的繁榮。只不過隨著樹林日漸朝向都市型城鎮發展，樹林夜市也轉型為綜合型的夜市，白天當地是現代新穎的商店街當道，到了下午四時以後，小吃攤才開始悄悄地現身，一場令人聞香下馬的喧鬧，一直要持續到午夜十二時灰姑娘的魔法消失為止。與板橋南雅、三重三和或新莊夜市比較起來，樹林夜市的小吃攤不以「量」取勝，花樣及選擇性也不是那麼多，但因有位在樹林火車站旁的地利之便，入夜之後，樹林夜市仍吸引大批晝伏夜出的食客，從四面八方而來，為的不僅僅是填飽肚子，更可感受在人群中呼吸的踏實感。,,樹林夜市,C1_382000000A_107165
