"Changetime","Keyword","Remarks","Ticketinfo","Parkinginfo_py","Parkinginfo_px","Parkinginfo","Website","Level","Class3","Class2","Class1","Orgclass","Py","Px","Gov","Map","Picdescribe3","Picture3","Picdescribe2","Picture2","Picdescribe1","Picture1","Opentime","Travellinginfo","Zipcode","Add","Tel","Description","Toldescribe","Zone","Name","Id"

"2016/12/30 17:37:56","中和","","","","","","","","","","18","","24.97806","121.49601","382000000A","","","","","","此景點目前暫不開放照片授權","http://tour.ntpc.gov.tw/Content/img/place_default.png","09:00~16:00","","235","新北市中和區興南路三段40巷12號","886-2-29410012","無極宮建物面積四百坪，主祀玉皇大帝，副祀至聖先師孔子，為住持陳麵民國五十四年(一九六五)創設於現址，現為樓高三層廟宇結構。民國七十四年、陳麵次子汪青松為感念「至聖先師」之恩澤、特從美國恭迎至聖先師巨幅聖像一幀，送至無極宮供奉，安奉於「大成殿」作為學子閱覽場所，為大臺北地區少數安奉至聖先師之道教廟宇。","無極宮建物面積四百坪，主祀玉皇大帝，副祀至聖先師孔子，為住持陳麵民國五十四年(一九六五)創設於現址，現為樓高三層廟宇結構。民國七十四年、陳麵次子汪青松為感念「至聖先師」之恩澤、特從美國恭迎至聖先師巨幅聖像一幀，送至無極宮供奉，安奉於「大成殿」作為學子閱覽場所，為大臺北地區少數安奉至聖先師之道教廟宇。為了弘揚道教，並集合善男信女，該宮另斥資在宜蘭濱海公路旁大溪地方，購入約三十五公頃土地，命名為「無極山」，作為宣揚道教思想的聖地。","","中和無極宮","C1_382000000A_110212"
"2016/12/30 17:37:56","中和","","","","","","","","","","18","","24.98808","121.51627","382000000A","","","","","","此景點目前暫不開放照片授權","http://tour.ntpc.gov.tw/Content/img/place_default.png","全天開放","","235","新北市中和區景新街467巷50弄20號","886-2-29413138","建立於民國五十四年，建物面積為五四七．三五坪，主祀道濟大佛，副祀彌勒大佛、觀世音菩薩、如來佛祖、文殊菩薩、隨求明王、伏虎大佛、 玄靈上帝、清水祖師、五穀大帝、文昌帝君、長春子真人、天上聖母、呂大仙祖，岳武穆帝君、藥師如來佛、介道真君等。該廟聳立在新北市中和區南勢角景新街山麓中，係因靈隱大師為鼓勵崇法諸神德行，實踐慎終追遠孝德，號召善男信女共結善緣，建成該廟。靈覺殿於民國五十四年農曆十一月廿五日建成，舉行落成及迎神大典。每年農曆十一月廿五日及三月十五日為廟慶，熱鬧非凡。廟前廣場平日提供給民眾做為健身及土風舞等休閒活動的場所。","建立於民國五十四年，建物面積為五四七．三五坪，主祀道濟大佛，副祀彌勒大佛、觀世音菩薩、如來佛祖、文殊菩薩、隨求明王、伏虎大佛、 玄靈上帝、清水祖師、五穀大帝、文昌帝君、長春子真人、天上聖母、呂大仙祖，岳武穆帝君、藥師如來佛、介道真君等。該廟聳立在新北市中和區南勢角景新街山麓中，係因靈隱大師為鼓勵崇法諸神德行，實踐慎終追遠孝德，號召善男信女共結善緣，建成該廟。靈覺殿於民國五十四年農曆十一月廿五日建成，舉行落成及迎神大典。每年農曆十一月廿五日及三月十五日為廟慶，熱鬧非凡。廟前廣場平日提供給民眾做為健身及土風舞等休閒活動的場所。","","中和三介廟","C1_382000000A_110213"
"2016/12/30 17:37:58","中和","","","","","","","","","","18","","25.00285","121.48332","382000000A","","","","","","此景點目前暫不開放照片授權","http://tour.ntpc.gov.tw/Content/img/place_default.png","05:00~21:30","","235","新北市中和區新生街112巷臨20號","886-2-22229013","東德宮創建於民國五十二年(一九六三)，主祀五府千歲，副祀天上聖母、城隍爺、註生娘娘等神明。該宮由李錦堂從嘉義布袋請來李府王爺，當時中和地區磚窯工廠興盛，工人們以東德宮為信仰中心，香火鼎盛。民國六十八年增建，七十八年再度翻修成新造廟宇，雕樑畫棟，富麗堂皇。","東德宮創建於民國五十二年(一九六三)，主祀五府千歲，副祀天上聖母、城隍爺、註生娘娘等神明。該宮由李錦堂從嘉義布袋請來李府王爺，當時中和地區磚窯工廠興盛，工人們以東德宮為信仰中心，香火鼎盛。民國六十八年增建，七十八年再度翻修成新造廟宇，雕樑畫棟，富麗堂皇。","","中和東德宮","C1_382000000A_110214"
"2016/12/30 17:37:57","捷運,中和線,捷運景安站,中和","","","","","","","","","","18","","24.99751","121.49385","382000000A","","","","","","此景點目前暫不開放照片授權","http://tour.ntpc.gov.tw/Content/img/place_default.png","08：00~17：00","","235","新北市中和區連城路249巷2號1樓","886-2-22490677","碧河宮始於清初嘉慶年間，乃耕農者所供奉，當時為一巨石，並無金身。至日據時期，俞英當庄長時，與地方人士建議，將該石頭雕刻成土地公與土地婆，建廟供奉。民國五十四年(一九六五)，因廟宇興建已久而廟基陷落，平河村村長曹阿子發起籌措財源，購地建廟，民國五十五年農曆九月一日新廟落成。民國六十六年(一九七七)逢擴大都市計畫，不得不將位於人行道上之廟宇遷徙至現址，當時的管理人邱瑞長四處奔走籌款建廟，添購廟地，雕造龍柱等。邱瑞長因事業繁忙無法兼顧，於民國六十八年(一九七九)十月辭去管理人職務，由中正里里長林政雄接任，民國七十二年，增建鐵屋圓頂。當時該宮之廟地，尚有部分為農田灌溉水利地，因遷移時，無力購置，致土地產權不完整，無法辦理廟宇登記。林政雄奔走籌款，並經立委林永瑞與縣議員江敏行之協助，與水利會接洽，始將該灌溉水利地購妥，並於民國七十五年十二月由縣府核准登記立案，正式將廟地產權登記為碧河宮所有。","碧河宮始於清初嘉慶年間，乃耕農者所供奉，當時為一巨石，並無金身。至日據時期，俞英當庄長時，與地方人士建議，將該石頭雕刻成土地公與土地婆，建廟供奉。民國五十四年(一九六五)，因廟宇興建已久而廟基陷落，平河村村長曹阿子發起籌措財源，購地建廟，民國五十五年農曆九月一日新廟落成。民國六十六年(一九七七)逢擴大都市計畫，不得不將位於人行道上之廟宇遷徙至現址，當時的管理人邱瑞長四處奔走籌款建廟，添購廟地，雕造龍柱等。

邱瑞長因事業繁忙無法兼顧，於民國六十八年(一九七九)十月辭去管理人職務，由中正里里長林政雄接任，民國七十二年，增建鐵屋圓頂。當時該宮之廟地，尚有部分為農田灌溉水利地，因遷移時，無力購置，致土地產權不完整，無法辦理廟宇登記。林政雄奔走籌款，並經立委林永瑞與縣議員江敏行之協助，與水利會接洽，始將該灌溉水利地購妥，並於民國七十五年十二月由縣府核准登記立案，正式將廟地產權登記為碧河宮所有。另於七十八、七十九年安奉觀音佛祖及湄洲媽祖鎮宮，設有光明燈兩座。林政雄更推展經懺之虔誦，蔡老師、梅女士認真教經頗有成就，每月初二、十六日誦經，祈求閤第平安。","","中和碧河宮","C1_382000000A_110215"
"2016/12/30 17:37:58","捷運,中和線,捷運景安站,中和","","","","","","https://zh-tw.facebook.com/lxfude98","","","","18","","24.99553","121.49754","382000000A","","","","","","此景點目前暫不開放照片授權","http://tour.ntpc.gov.tw/Content/img/place_default.png","06:00~22:00","","235","新北市中和區圓通路162巷2號","886-2-22484646","力行福德宮位於中和區力行里圓通路一百六十二巷二號，建物面積為120坪，始於乾隆年間先民建廟奉祀福德正神，立下福德正神石碑乙座，嗣後在民國十七年(昭和三年)重建及民國八十年重新翻修，日後正式定名為「力行福德宮」，數百年來香火鼎盛，成為地方信仰中心。","力行福德宮位於中和區力行里圓通路一百六十二巷二號，建物面積為120坪，始於乾隆年間先民建廟奉祀福德正神，立下福德正神石碑乙座，嗣後在民國十七年(昭和三年)重建及民國八十年重新翻修，日後正式定名為「力行福德宮」，數百年來香火鼎盛，成為地方信仰中心。

力行福德宮一樓主祀福德正神、福德夫人、金土地公及招財進寶二位童子，守護鄉里庇佑安康，願應人求佑施黎庶。

二樓正殿主祀三官大帝、五顯大帝，係於清康熙年34年(西元1695年)爰自福建漳州平和縣護佑中和開基先賢入墾中和，繼往開來。三百年悠久歲月，神威顯赫，中和庄內、外遠近民沐恩庥。二樓觀音殿供奉觀音佛祖、文昌帝君、魁斗星君、月老星君及來自浙江省舟山群島南海普陀山紫竹林寺之千手千眼觀世音菩薩。

信眾在本觀音殿除可向觀世音菩薩祈安賜福外，亦可向文昌帝君求取功名及保佑考場如意金榜題名。另月老星君將保佑您好姻緣、好人緣及貴人緣，信眾在此可取一張姻緣貼紙書寫姓名及祈求願望貼至【姻緣簿】上，讓月老及眾神明來實現您的願望。二樓財神殿供奉天官五路武財神及文、武財神，保佑十方善信求財納福，這裡供奉財神爺招財法寶【聚寶盆】能讓您添財、添福氣。前述列位神祇皆慈悲顯赫，凡久居中和之前輩、鄉親無不稱奇讚嘆，其顯化救世濟人之事蹟，非筆紙能以言盡。近年來力行福德宮創辦大中和土地公文化祭，並結合大中和區13庄頭公廟共襄盛舉，藉以發揚中和文化價值，熱心慈善公益與社會公益，照顧莘莘學子，深耕地方造福鄉梓，融合宗教、文化、教育之教義與信念，讓信眾感受不同的宗教饗宴，歡迎大家一起蒞臨感同深受。","","力行福德宮","C1_382000000A_110216"
"2016/12/30 17:37:56","中和","","","","","","","","","","18","","25.00123","121.47898","382000000A","","","","","","此景點目前暫不開放照片授權","http://tour.ntpc.gov.tw/Content/img/place_default.png","05:00~21:00","","235","新北市中和區員山路327巷42號","886-2-22217969","主祀天上聖母，由漳州府鳳山寺分靈來臺，從祀有保安尊王及中壇元帥諸神。歷經多次改建，興建事務所、戲臺等。民國八十五年購買一間會議室，現任主任委員林后福。信徒以員山區為主，亦有從板橋地區來此上香者。","主祀天上聖母，由漳州府鳳山寺分靈來臺，從祀有保安尊王及中壇元帥諸神。歷經多次改建，興建事務所、戲臺等。民國八十五年購買一間會議室，現任主任委員林后福。信徒以員山區為主，亦有從板橋地區來此上香者。","","海山宮","C1_382000000A_110217"
"2016/12/30 17:37:58","中和","","","","","","","","","","18","","25.00468","121.50662","382000000A","","","","","","此景點目前暫不開放照片授權","http://tour.ntpc.gov.tw/Content/img/place_default.png","07:00~21:00","","235","新北市中和區水源路81巷31弄10號","886-2-22486685","保慶宮，建物面積五坪，主祀福德正神。保慶宮原為瓦瑤里居民之祭祀中心，後於民國四十七年(一九五八)經由募款改建為現在景貌，第一任管理人為陳阿益。","保慶宮，建物面積五坪，主祀福德正神。保慶宮原為瓦瑤里居民之祭祀中心，後於民國四十七年(一九五八)經由募款改建為現在景貌，第一任管理人為陳阿益。","","中和保慶宮","C1_382000000A_110218"
"2016/12/30 17:37:57","捷運,中和線,捷運景安站,中和","","","","","","","","","","18","","24.99292","121.49984","382000000A","","","","","","此景點目前暫不開放照片授權","http://tour.ntpc.gov.tw/Content/img/place_default.png","全年無休","","235","新北市中和區中興街126-1號","886-2-22482688","中興福德宮創建於清嘉慶年間(約一八○○年)是中和區較早的福德正神廟，建物面積僅26.45平方公尺。民國八十年三月，由簡德旺先生提議改建，於民國八十一年完工，並由簡德旺先生出任管理人。該宮信徒以新南、和興、南山，復興、德行五里里民為主，農曆每月初一、二及十五、十六日都有祭典，每年農曆十月十七日平安戲謝神，香火鼎盛。","中興福德宮創建於清嘉慶年間(約一八○○年)是中和區較早的福德正神廟，建物面積僅26.45平方公尺。民國八十年三月，由簡德旺先生提議改建，於民國八十一年完工，並由簡德旺先生出任管理人。該宮信徒以新南、和興、南山，復興、德行五里里民為主，農曆每月初一、二及十五、十六日都有祭典，每年農曆十月十七日平安戲謝神，香火鼎盛。","","中興福德宮","C1_382000000A_110219"
"2016/12/30 17:37:58","捷運,中和線,捷運景安站,中和","","","","","","http://www.beishenggong.tw/","","","","18","","25.00025","121.49271","382000000A","","","","","","此景點目前暫不開放照片授權","http://tour.ntpc.gov.tw/Content/img/place_default.png","06:00~22:00","","235","新北市中和區板南路123-1號","886-2-22478000","北聖宮，建物面積三十二坪，主祀天上聖母，配祀註生娘娘、福德正神、中壇元帥－先行官、太陽星君、太陰娘娘等諸神。所奉祀天上聖母，係由嘉義縣東石鄉笨港港口村之港口宮分靈而來，民國五十一年(一九六二)李力男將聖母金尊迎至臺北市蜢舺地區(今萬華區)，暫時奉杞。民國七十年，有熱心信徒積極召募成員並賃屋暫安，於農曆十月廿二日正式開宮立宣，命名「北聖宮」。民國七十二年(一九八三)因租屋期滿解約，另擇宮址。於當年農曆八月八日遷宮安座。民國七十七年建廟地址確定，並經地主陳氏昆仲首肯，搭建臨時行宮，農曆三月廿日進香謁祖回駕時，即往行宮安座暫定，同年十一月廿三日，入火安座。","北聖宮，建物面積三十二坪，主祀天上聖母，配祀註生娘娘、福德正神、中壇元帥－先行官、太陽星君、太陰娘娘等諸神。所奉祀天上聖母，係由嘉義縣東石鄉笨港港口村之港口宮分靈而來，民國五十一年(一九六二)李力男將聖母金尊迎至臺北市蜢舺地區(今萬華區)，暫時奉杞。民國七十年，有熱心信徒積極召募成員並賃屋暫安，於農曆十月廿二日正式開宮立宣，命名「北聖宮」。民國七十二年(一九八三)因租屋期滿解約，另擇宮址。於當年農曆八月八日遷宮安座。民國七十七年建廟地址確定，並經地主陳氏昆仲首肯，搭建臨時行宮，農曆三月廿日進香謁祖回駕時，即往行宮安座暫定，同年十一月廿三日，入火安座。","","中和北聖宮","C1_382000000A_110220"
