"listName","orgName","infos__InfoId","infos__TYWebsite","infos__Name","infos__Toldescribe","infos__Add","infos__Zipcode","infos__Travellinginfo","infos__Opentime","infos__Px","infos__Py","infos__Website","infos__Parkinginfo","infos__Ticketinfo","infos__Remarks","infos__Tel","infos__Fax","infos__Changetime"
"Attraction","380300000H","963","travel.tycg.gov.tw/zh-tw/Travel/Attraction/963","大溪老茶廠","走訪大溪老茶廠，悠然開啟一場名為「品茗時光」的旅程。1926年日人興建角板山工廠，即大溪茶廠的前身，從此寫下大溪製茶的輝煌歷史，可謂當時的「茶金新貴」。然而1956年一場祝融之災讓茶廠幾乎全毀，自2010年開始台灣農林股份有限公司著手重建，才將這隱沒半世紀的茶韻風華，以新舊交融之姿，重現於世人眼前。    大溪老茶廠外觀以印度大吉嶺茶廠為藍圖，內部空間則是台日複合，極具多元文化。藍色為建築主色調，不論是窗櫺與樑柱、造型層架、牆面、藝術畫作等，不張揚的藍色調與這棟磚造混合檜木屋架的製茶工廠顯得格外契合，在這片「大溪藍」下，時光洗鍊出的沉靜美感與古董製茶設備，悠緩低語禪風裡的茶話。     品茶香、品人文，茶廠裡的每一隅都使人沉醉。靜水池旁漫步，感受遠離都市的片刻寧靜；堆砌百餘片茶磚的普洱茶牆，啜飲一口歲月芬芳；曬書區放鬆，在文字的世界無須理會時間；茶書屋與友對坐，一同喫茶聊日常；別忘了在塗鴉本上揮灑畫筆，為這趟小旅行留下美好註記。    順應自然是大溪老茶廠恆久不變的經營原則，製程無任何農藥添加，提倡食的安心、食的有機，所有產品皆通過SGS檢驗合格。每月開放舒食自助餐名額預約，15道當地時令佐以茶香，口感純粹、味甘清爽，使旅人連味蕾也享受茗茶的風雅韻味。另有每日供應的常態套餐，淺嚐極簡卻回味無窮的食飲文化。","335桃園市大溪區新峰里1鄰復興路二段732巷80號","335","搭乘桃園客運5090、5091、5093、5094、5104、5105、5106、5107、5109、中壢客運5301至水流東站下，步行約3分鐘可抵。  搭乘桃園客運5090、中壢客運5301至三民站下，步行約5分鐘可抵。     搭乘台灣好行502小烏來線(逢假日行駛)於大溪老茶廠站下即抵。","週一至週五 10:00AM~17:00PM, 週六至週日 10:00AM~17:30PM","121.32838","24.83065","http://www.daxitea.com/","備有停車場。","免費參觀，特殊時間導覽費用另計（可全額折抵門市販售茶類商品)）","1.預約參訪可至官網下載申請表  2.專人導覽時間：11：00、14：00、15：30，共3場，以外時間，如需安排特殊時間導覽，需20人以上，費用$100/人，費用可全額抵扣門市販售所有茶類及商品之消費扣抵(不可抵用餐、飲料、點心&蔬菜)。導覽全程含影片需時60分鐘。請於訪廠日前至少7日預約排定。","886-3-3825089","886-3-3825101","2017/05/11 14:00:11"
"","","108","travel.tycg.gov.tw/zh-tw/Travel/Attraction/108","黑松飲料博物館","小時候跟爸媽一起去喝喜酒，最期待的就是酸甜的綠洲果汁搭配一道道美味佳餚，百搭風味令人難忘！黑松沙士加鹽巴－家家戶戶的治感冒偏方，刺刺癢癢的口感，一入口，感冒還沒好，心情倒是好了一大半。屬於你的「黑松回憶｣是什麼?來一趟黑松飲料博物館的時光廊道，一同回顧那些年，我們一起喝的黑松。    博物館前廊，一整面沙士、汽水瓶燈箱牆，是2004年引起大熱銷的彰化花博限定紀念版，走進博物館，走道兩側圖文展示黑松從1925年「進馨商會｣時代晉升為黑松飲料大廠的時代演進。悠久的歷史，伴隨著台灣社會一起成長；全台第一瓶彈珠汽水問世、辦桌上的玻璃瓶黑松汽水，是許多五、六年級生的共同回憶。    在台灣經濟剛起飛的50年代，湧現一股喝汽水、沙士的風潮，博物館內陳設歷年來的平面廣告、招牌、商標，不單是柑仔店懸掛店外的鐵牌、黑松致贈經銷商與零售商的絕版電時鐘、復古手繪海報、甚至是裝箱方式，都有詳盡的展示及說明，重現台灣當時的榮景。  　      1995年黑松適逢70週年慶，舉辦「徵人、徵物、徵作品」活動，從各地收集豐富的周邊文物，童年時期的汽水瓶鑰匙圈、集瓶蓋兌換的獎品、最早期的保冷箱等文物，於1996年成立的黑松文物館 (黑松飲料博物館前身)，邀請參觀者跟著黑松走過歲月的軌跡，沉浸獨有的時代美感。除了靜態展覽，另播放介紹黑松歷程、經典廣告回顧、最新生產設備之介紹影片。導覽結束將贈予參觀者飲料，體驗喝汽水的懷舊樂趣。　　　","320桃園市中壢區中園路178號","320","■搭乘泛航通運2004線【桃園龜山－中壢】、中興大業巴士2022線【台北－中壢】、桃園客運135線【中壢－內壢高中】於啟英高中站下車，步行約300公尺即抵   ■搭乘中壢客運122線【中壢－鄉界】、桃園客運5017線【中壢－竹圍(經楊厝)】、5078線【中壢－陳康國小(經萬能科技大學)】、5118線【中壢－下內定(經萬能科技大學)】於皇天宮站下車即抵    ■搭乘國光客運1818線【台北－中壢】於黑松公司站下車即抵  ■搭乘桃園客運110線【中壢－文化路】於積厝站下車，步行約1公里即抵","每週一至週五 10:00~15:00開放參觀（例假日與國定假日休館）","121.23706","24.97715","http://www.heysong.com.tw","廠內停車","免費參觀，採電話預約制，不開放當日預約","預約方式：  1.線上預約：http://www.heysong.com.tw/HeySong/MuseumBooking（線上預約後3日內將有專人回覆是否成功，或可撥打預約專線確認）  2.採電話預約制，15人以上團體免費參觀，若為15人以下(含個人)皆併入已預約團體一同參觀。","886-3-4523101#219","886-3-3322101","2017/05/11 09:53:11"
"","","309","travel.tycg.gov.tw/zh-tw/Travel/Attraction/309","老k舒眠文化館","人的一生依靠深沉睡眠修復元氣，並且每天花1/3的時間與「床」相處，但對於「床」與「睡眠」的知識卻少有瞭解。深耕台灣的歐樂麗公司，除了生產優質老K彈簧床墊，更開放了工廠並成立「老K舒眠文化館」供國人寓教於樂的休閒場所，體驗舒適的床，給您五感享受。藉由寢具的轉印技術設計的「超級設計師」創意T恤DIY，以及「美夢迷你床」DIY課程，豐富遊客的假日時光；另外，館區的中、西餐廳也能滿足遊客挑剔的味蕾；還有全國觀光工廠獨一無二的專業表演廳「國王演藝廳」提供各式藝文表演、會議、演講，觀迎各界使用。誠摯邀請您呼朋引伴、攜家帶眷，來趟輕鬆、自在、健康、不一樣的觀光之旅！                 ","327桃園市新屋區梅高路三段97號","327","搭乘桃園客運505線【濱海觀光公車】於老K舒眠文化館站下車即抵(逢六、日、國定假日行駛)"," 週一至週日9:30-17:00 (最後入館時間16:00)","121.14685","24.95382","http://www.kingbedhaha.com.tw/","備有停車場200個","成人票$100、優待票$50、身高90(含)公分以下兒童免費入館","15人以上團體可預約導覽，採電話預約導覽方式，需於一週前先預定。","886-3-4205050","886-3-4205151","2017/05/09 13:43:02"
"","","604","travel.tycg.gov.tw/zh-tw/Travel/Attraction/604","太平洋自行車博物館","國內知名自行車廠商─太平洋自行車於公司成立30週年時，成立太平洋自行車博物館，並於2014年9月開幕。    博物館不以蒐集古董車為要，而是展現當代世界自行車科技縮影，因此除有世界自行車科技發展史外，亦有許多珍貴的自行車典藏品及復刻版，而最受歡迎「體驗區」，則可以試乘不少太平洋自行車最夯的車款。","327桃園市新屋區永福路686號","327","付費公車：   ．桃園客運5027（後湖↔中壢）路線  ．桃園客運5039（中壢→經永安、觀音→中壢）路線  ．濱海觀光公車505（中壢→觀音）路線（週六、日及國定例假日行駛）    免費公車：   ．新屋二甲線L602（富岡火車站↔永安漁港/福興宮）  ．新屋二乙線L603（富岡火車站↔永安漁港/福興宮）  ．高鐵線L605（桃園高鐵站↔永安漁港）   ．長庚醫院線L606（林口長庚醫院↔永安漁港）","週二至週日08：30～16：30 (最後入場時間16：00)","121.03231","24.98586","http://www.pacificcyclesmuseum.com/","備有停車場","普通票(一般觀眾)$300 、 優惠票(身障人士及其陪同者一人)$200 、免費(學齡前兒童，需有家長陪同) / 團體價另洽，普通票可折抵館內商店消費$100（需單人消費總額滿$200）","週二至週五採網路預約制，請至官方網站預約，週六、日可現場購票，但團體仍需預約。","886-3-4861231#312","886-3-4861215","2017/05/08 14:55:33"
"","","504","travel.tycg.gov.tw/zh-tw/Travel/Attraction/504","白木屋品牌探索館","白木屋成立於西元1997年，由品質的呈現、品味的分享，到品牌的演變，期望以最真實的第一線交流，讓顧客直接接觸糕餅的品質文化。    隨著經濟環境的改變，傳統講究的產品功能、利用服務創造附加價值的方式，已不能符合現有消費者的需求。現在的消費者不但重視服務的品質，也越來越講究經驗上的滿足，藉由2004年品牌探索館的成立，服務的層次由顧客滿意提昇至顧客感動的階段，利用「視」-獨特美麗的蛋糕造型，「聽」-輕鬆愉快的背景音樂，「嗅」-濃郁奔放的香氣，「觸」-紮實的糕餅觸感，「味」-甜而不膩的絕妙滋味此「五感行銷」的方式，創造產品差異化，讓參訪者留下深刻印象，進而提升品牌忠誠度。    探索館分為兩層樓共三部份，館區入口處設有簡報室，為參觀民眾播放簡單的品牌文化短片，接著為意象廊道及販售區，經過廊道可以了解白木屋品牌建立過程、獲頒獎項、品質認可等標章；精緻的糕點，透過玻璃櫥窗展示，挑動著味蕾，在這裡您可以點上一杯咖啡配上蛋糕，慢慢品味。另外還有最具人氣的DIY蛋糕體驗課程，每日固定時間開放民眾參加，不論您是喜愛甜點的大人，還是充滿好奇心的小朋友，都可以參加，快來製作一個獨一無二的蛋糕吧！    第二部份為商品生產線參觀，您可以近距離參觀銅鑼燒等伴手禮的制作過程，華麗的燈光佈置，搭配短片介紹，還設置了休憩區，陪遊客度過每個幸福快樂的時光。    第三部份為蛋糕裝置藝術、巧克力狂想曲、蛋糕絲路進行曲，可以透過透明櫥窗直擊員工在進行蛋糕製作、加工、包裝、巧克力裝飾的過程。從歷史、親身體驗、觀賞製作過程等多面向方式，讓顧客能夠深入了解白木屋最想呈現給的幸福與感動!","326桃園市楊梅區高獅路813巷22弄6號","326","楊梅後火車站前搭乘區公所免費便民服務專車L613線→白木屋工廠站下車。","上午9點到晚上6點","121.16441","24.92768","http://www.wwhousegallery.com/index.php","備有停車場","免費參觀，團體參觀需於7天前完成預約手續，DIY另計（團體參訪&DIY 體驗課程請電話洽詢。）","●探索館  1.採電話、傳真、線上預約三種報名方式  2.參訪對象：歡迎個人及企業機關團體參訪。  3.一般團體學校、團體參觀請於七天前完成預約手續。預約時段人數已滿額將另行通知安排其他參訪時段。未能於預約時間內抵達者，館舍將保留取消該團體參訪之權利。  ●DIY烘焙教室  報名方式 / 採預約報名制，請在7天前預約報名  上課時間  週一至週五 AM 10:00 / PM 02:00（以團體預約為主）  週六、週日 AM 10:00 / AM 11:00 / PM 02:00 / PM 03:00  備註事項： DIY烘培教室課程開課上限人數須達20人以上方可開班，DIY費用1人/250元，若需預訂請於7天前致電或上網預約即可。","886-3-4965558#307","886-3-4644021","2017/05/08 11:55:13"
"","","502","travel.tycg.gov.tw/zh-tw/Travel/Attraction/502","光泉牛奶園地（大園廠）","鮮乳是自然且完美均衡的飲品，也是人類接受度最高，營養最完整的食品；在人生的每一階段，從幼兒、發育中的青少年、成年的婦女及銀髮族，鮮乳對其而言都是相當重要的營養來源。    衛生署委託中研院進行的「2001-2002國小學童營養狀況」調查顯示，多數的小學生飲食習慣不健康，造成營養失調，其中在鈣質與膳食纖維的攝取相當缺乏。    光泉公司有感於正確的飲食知識必須要從小教育起，灌輸學齡孩童正確的認知，故企劃此一「校外教學」課程，希望透過課程的設計，讓小朋友們親自走一趟牧場與生產鮮乳的工廠，把書本上的飲食知識轉變成為生活中的美好體驗，再配合學校的日常宣導，以循序漸進的方式塑造正確健康的飲食習慣。     ","337桃園市大園區大觀路1249號","337","搭乘桃園客運往觀音方向（經中厝），在「大同社區」站下車即可。","週二至週五9:00~15:00，例假日休館","121.16082","25.05532","http://www.kuangchuan.com/05Visit/Visit0101.aspx","備有停車場。","免費","導覽服務:  ⓪對象：政府機關、學校、社團等團體  ⓪參觀費用：免費  ⓪申請方式：電話預約、網站登記預約  ⓪參觀內容： 主要為乳品包裝作業現場說明→投影資料說明乳品生產流程簡介→飲品品嚐→賦歸  ⓪全部時間前後約為 60分鐘，參訪團體事後可獲得贈品  ⓪注意事項：須事先預約，提前兩週預約，以30人至50人為原則","886-3-3865185#111","886-3-3862475","2017/05/05 08:55:26"
"","","964","travel.tycg.gov.tw/zh-tw/Travel/Attraction/964","馬祖新村文創基地","享有「桃園將軍村」美名的馬祖新村，並非因當地居民來自馬祖而得名，而是當年蔣總統夫人宋美齡帶領勞軍團前往馬祖慰問時，為了穩定軍心，提出安置這些駐守在前線官兵在台眷屬的需求，而建造了現在的馬祖新村。    第一批眷舍就在民國四十六年完成，並分配給陸軍84師少將級以下軍官與眷屬居住，而成為龍岡當地第一個眷村。居民也從原本預計的七十六戶擴大成後來約有兩百二十六戶，採棋盤式道路並搭配魚骨式村舍配置，營造出獨門獨戶的居住空間，周邊則陸續增設了活動中心、禮堂、社區公園、草坪、球場、涼亭等公共設施，形成自給自足的半封閉式眷村聚落，並在民國八十七年獲得全國模範社區，帶給全村相當大的鼓勵。        桃園雖然不是全國眷村最多的地方，卻是眷村文化保存運動中相當重要的地區。正因為眷村的形成在歷史轉變中扮演著重要的角色，可說從聚落建築到人文風情都是無可取代的特有文化與生活特色，所以在當地居民陸續搬遷至改建後的陸光五村後，桃園市政府文化局開始推動眷村的保存，馬祖新村是繼台北四四南村之後，全國第二個以「文化資產保存法」保存的眷村，並在民國九十三年被登錄為歷史建築，給予文化資產的身份，後來再被國防部選定為全台十三個眷村文化保存園區，也是中壢市第一個透過文化資產保存的眷村。    相較於其他的桃園眷村，馬祖新村是以「類博物館」的方式重新起步，從眷村文化的保存、活化及文創影視推廣等多重角度出發，成立了馬祖新村眷村文創基地，除了透過電影節、眷村文化節等活動舉辦，更將馬祖新村的活動中心改建成「桃園光影電影館」，打造可容納76名觀眾的標準杜比音效電影院，最值得一提的是，保留了當時的大禮堂作為電影放映的空間，推出多部經典國片、電影文物展，讓眷村保存更為活化。        為讓原本被遺忘的眷村空間活絡起來，馬祖新村將定期舉辦文創市集活動，邀請藝術家進駐，讓遊客走入具有歷史感的老房舍，在黑瓦、磚牆、與紅白相間的大門中串連起兒時的記憶，彷彿就是當年在眷村內串門子的左鄰右舍、鄉親好友，重現令人懷念的眷村人情味。","320桃園市中壢區馬祖新村","320","於中壢搭乘桃園客運112南路或中壢客運112北路於馬祖新村站下車，左轉龍岡路三段281巷，再左轉龍吉二街遇第一個路口右轉抵達馬祖新村。","預約開放","121.23759","24.93600","https://www.facebook.com/ArtMatsuVillage","路邊停車","免費","開放時間與相關展演活動可上「中壢馬祖新村眷村文創基地」fb查詢 。","886-3-2841866","886-3-3322101","2017/05/04 17:21:57"
"","","603","travel.tycg.gov.tw/zh-tw/Travel/Attraction/603","江記豆腐乳文化館","新蓬萊食品經營一甲子，為傳承傳統醬缸醃漬的文化，加強消費者對豆腐乳等醬菜食品的認識，於2012年正式成立「江記豆腐乳文化館」，80坪的展示館座落於桃園市中壢區，場館除展示商品外，亦從製程、文化、創新的角度向參觀者展示豆腐乳文化，以專業研發技術、傳統技藝與現代設計兼具的陳設空間，還有運用豆腐乳料理的實作示範，透過靜態及動態展示，表現豆腐乳有別於傳統印象的新風貌。","320桃園市中壢區月眉路2段248巷85號","320","1.於中壢市搭往觀音公車，至「大崙站」下車，由大崙派出所往前走約30分鐘即可至江記豆腐乳文化館。  2.搭乘高鐵至桃園青埔站，轉搭計程車可抵。","09:00-16:00（週六、日與例假日休館）","121.18519","25.00661","http://www.xpl.com.tw/","館內設有停車場。","免費參觀，DIY費用100元","豆腐乳DIY需於參訪前1星期預約，預約人數: 15人以上 ，40人以下團體參觀 。","886-3-4986018","886-3-4985680","2017/05/04 13:13:30"
"","","137","travel.tycg.gov.tw/zh-tw/Travel/Attraction/137","南僑桃園觀光體驗工廠","南僑桃園廠創立於1971年，佔地15,000坪，2012年成立觀光工廠，是桃園龜山工業區第一家獲選的工廠。                南僑體驗工廠內推出多項DIY體驗活動，包括水晶肥皂古早打印、小丑冰淇淋聖代DIY、蜜糖吐司DIY、淇幻棉花派DIY、冠軍小籠包DIY、蛋塔DIY、比薩DIY、泰式青木瓜沙拉DIY及泰式春捲DIY等，共9項DIY體驗課程，深獲遊客喜愛。                另為推廣餐飲美食文化，廠區內亦設有美食餐廳，遊客可品嚐異國美食佳餚，包括二度榮獲台灣餐飲評鑑五顆星的點水樓餐廳；寶萊納啤酒餐廳有德國鮮釀的生啤酒、德國豬腳、肉腸及PIZZA；本場流專業麵店有各式中式拉麵與簡餐；泰國風味餐廳有正宗泰式佳餚及泰式下午茶，以及南僑集團生產的杜老爺、卡比索、曠世奇派及寶萊納雙淇淋等冰品。                南僑桃園觀光體驗工廠佔地3,700坪，停車便利，兼具環保知識、產業教育、餐飲美食文化及歷史傳承，來這裡走一趟，既可以了解南僑的產業，體驗多樣化DIY活動，也可以品嚐異國美食，是一間寓教於樂的觀光工廠。","333桃園市龜山區龜山工業區興邦路35號","333","1. 搭乘桃園客運5005線【桃園-三峽(經尖山)】，在薇爾文教機構站(薇爾英語)下車，沿大誠路直走右轉興邦路即抵。  2. 搭乘桃園客運707線【桃園高中-桃園棒球場】，至興邦建國路口站／興邦路39號巷口站下車，步行約五分鐘即可抵達。  3. 搭乘統聯客運168線【會稽國中-內壢車站】，至興邦建國路口站下車，步行約五分鐘即可抵達。","參觀時間09:30-17:00／園區餐廳營業時間11:00-21:00","121.32400","24.98390","http://www.namchow.com.tw/","備有停車場。","免費","導覽場次及預約事項：  1.  平日(週一至週五)  (1 ) 平日採10人以上團體預約，請於５日前來電預約，將由觀光體驗工廠專人導覽解說。  (2) 開放自由參觀區域為四面佛禮讚區及各餐廳（點水樓、寶萊納、本場流及泰國風味餐廳），其他廠館僅供團體預約參觀。  2.  假日（週六、日及國定假日）  (1) 開放散客入園參觀，不需預約，並提供固定導覽場次為10:00、14:00、16:00，全程約1.5小時，集合地點為涼亭前廣場，將由專人導覽解說（連續假期增加導覽場次，詳情請上官網）。  (2) 自由參觀區：烘焙油參觀走廊、捲揚機、四面佛禮讚區、寶萊納釀酒廠。   (3) 僅於專人導覽時間開放區：創辦人紀念館榮恭館、水晶肥皂體驗室、泰國文物館。","886-3-2630264","886-3-3322101","2017/05/04 08:58:45"
"","","957","travel.tycg.gov.tw/zh-tw/Travel/Attraction/957","祥儀機器人夢工廠","105/3/20更名為「樂博夢想王國」  105/3/25經洽詢3623452＃1931林小姐後，確認暫不改名。","330桃園市桃園區桃鶯路461號","330","1.桃園火車站搭乘桃園客運「桃園-三峽」路線公車，於大智路口站下車，步行至夢工廠約2分鐘。  2.桃園火車站後站搭乘免費公車「後站藍線」路線公車，於住都飯店下車，步行至夢工廠約2分鐘。  3.於桃園火車站搭乘計程車，車程約10-15分鐘。","週二至週五 9:00~17:00，週六、週日及國定假日 9:00~17:30，週一公休","121.32379","24.97544","http://www.shayyerobot.com.tw/","備有停車場。","■全票：250元 ■優待票：200元(4至9歲兒童、身心障礙者及其陪同者(1名)、65歲以上本國籍民眾) ■免費：3歲以下孩童","1.平日只採預約制，由專人導覽解說，限20人以上團體預約參觀，參觀請於五日前來電預約。  2.假日開放固定導覽場次為：10:00、11:00、13:00、14:00、15:00，並由專人導覽解說， 若為20人以上團體請於5日前來電預約。  3.採定時導覽型態，時間約為1.5小時，全程由導覽人員帶領參觀體驗；為維護參觀品質，每場次名額有限，如貴賓參訪人數較多時，須提前預約。(備註：因館內機器人體驗設備眾多，進場參觀限由專人導覽解說，無法自行參觀)","886-3-3623452","886-3-3628404","2017/05/03 11:48:27"
